recipient,amount,error
6LCdFE3ciWyEH2u9Mc6MKnpCEthqLZy3UyivAW1pqJ8T,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FC2wRavf3eaQCDfcc4zyd7gCtqXy34qrAFsG8nLuRuaY,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
3SPzjNst3pwjWqfYVhP6qVRzosFEp98rTNkoycXQWWUQ,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
G42wvdog6YjA6LZBwKugbgCC5rU8pesVcFpYbFFbUf6X,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
8n2AAXgkytPTtMym2NDohUzfcPYZQRU6tyyaKRjun1zT,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
5PSsc6v81o2QZpwKkrBCQwBbMn1z4TfBmqhPhwJSXt65,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
93X7C9frw1Qwht4eihfk49iYq2sVLZJ39VdmB8iCwNNi,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Ew8AkS4J3MDg1ovxjrTh3RkdXQa5Sb1RqRLhAbLETxWg,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
91H1mZTqmDCRkbE5LMUcVuqUDaTRcfnJjFTaf8DePrAX,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DhmvdtKr7wSaTjN18NgRs2x3vM7wExghxMg4i8ZTrNtq,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
ELvoXpNeDKm6tWw2vPATJcUG9U5HW2sbhDBKUkS7YF1j,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
72Z7Lpn9RPmi6D7Cm2UtU8NekcjbG9mvkf5ZqRAwXFp2,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4U7XgNCko6F2cygZWJumkVMHp4vuad5EVuT6VW9J1fJN,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
HxknmWc6hAnUWz9pFD7KNnmRH3wrk2tfmj8Uqbjh3iZZ,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
CEo1qAojAP59sdWNbxmNvX5yhScVwSfzrrabFSDedEoS,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
CWoJVDSK2Kh2KncjRq2NBL6aBbnzEkcuBCsvsP9tAAyv,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
HdXC7Y69AcxkCCdWFXnXiw4E1mks97kg7GyzSYEMqHh3,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
5MkdgzogaobthtJiSfLaCCfi7s56YpZKBTPLjvMhmBR2,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
2iRjcYUt8mq6CNB2N2RiDGTEvoXbR2EzxeDHA1XWb87a,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
A2frPZaaPuiH7w1LpqFp89wTMDW3wPirEXCPBHgDzPE3,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FE1u6VLynaQp9WZAkVpQqL8fpiegpzbwuZV74dxH6vjt,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DUzcWwQWZDxfCWdcQ43uJCxQQGjB44ye6q1WmxwMRyFP,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
78CKuvSL7KsS1tACHrNEdZjmiPQVk69Gcfw5Ma69xR5o,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
GzQYxckLgqojKApvhwqkti5b6bpNwzeeFux9687dnF9R,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
9Co5qvoQwA38kjtR1EgJ7qczavVVaxNSfV2aG9FMWVYo,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
ALR1k2chA4KuZAd8omfvYVgn1xACsxqfZ7evUE9DVBR3,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
9f87bPnQzGqBHeaTEhB8AnJXTXpTEaiJPJ7QvWMQ3sky,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DvezbpNjfmF5mKfLkxMoKzDUsym3fhRd1Yw887ovDyzT,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
HNmUtPJsTMEZSQYEMJELbCvtt4goXEeBTiSaY4AnfRhF,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
3TQFqfyP1WCwFChC5ph92kSFsKyGKqrPiHtxqQ2gytZs,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
2z3oq7cMuZx8Ln2dnLqjwmQyRQHNrVFEgwvMHGh93MJs,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
3fo3H7jA8Q5apCPod4MQhUFiiQoAtFN1VwuvLF7korvg,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
BXLquWmLgmasUcQAtQoYeRoJ3YahcL56ijiVd93KG2ku,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
68FRR8K9kaZTbmxbtR4ZutTDtGag77iE1VuVBSPkBvRD,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
5o16c3fk9r8dNzqedAX3rNxkdh3T276ApabyvLXdhF12,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Cd7bMRVF1wmF2i2F27VWpBw9TeS9r7FLYpCxAyAoaSYw,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
EJxGFBnMP48wDaW9FoTTcLsSZ7A267FFxJ3UXj5DYrf8,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FkG84oeZuWddSFwxrPMLv7j5RDe5iQnecA9m3WuDtAeh,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
FUdmSk2GW89d2UaW4xSrR1MeV7nqh8Kdj4K9hRhaQPi8,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
C6uGwSPRMUDkYB9Nh7P4SybDw7T9wLhg96BsqwxQrsPw,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
6zRkdmLzWnN9WFgnFc4oUdo8ajKtqfcKi8vHJVfQDgHT,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7EVdRHNe8LUBhT8ynzUQ435i19YffgUXfvwHfDVBw7vy,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
3SAVJhTxFrquRY1xyapciV4hqKvzz1jCXo1SRMLjYUeY,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Hbdjbyh5e6Pg5s4HPErcYjoFYAPiJ3dgYgGB34ew4EgB,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
DdA2C5AWR2V7nV4WPnpGty4Yik5ZTkbFLBpGdpnGzeJu,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
9GNcuZdyjUuByNw2hhCYezLQLsiXSYp97BUsUZN1pEiy,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Gnawd28DPgS3fQJdhqpV2VHViZPV6nNSZrYAXCq1oVHc,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
CcHZHKqQsgZXk1e7vNSZJLzU1jdaEf1MZr2yX8k2CJCX,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Bx4ubF59fZQfDSh9T4j5VQgd4gUmpxN79gBo7Pvcytu2,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
A1vaWkG3mVkeiPcb3J5Yydm5dp2EKUxmH1xGeBuw5mFf,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
AiWsJhduoMhC9ufRe4YfV1hgNCSge8YucvFi61saVr1A,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FGbnr4bWWZGp7V1tm9NVfz2B7C9xuRPKVg2xn9VqUuMF,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
98kgzMN5wsaMKAQfNnWrapSVSC1aYK6dWCN17jZ2etSf,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
2KysXGDSzrADRMLfVSaF7HdTzzR6BcpMQNEuC5GuMZu6,4500.000000,Error: The recipient address is not funded. Add `--allow-unfunded-recipient` to complete the transfer 
DqCctUvUDMXFhr4yQxRi23a1YL2ehZ4h5VV4onqbj7n,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
CmucEUXaY5HbR1kNmNf8xZpJbSTzVGW1H4f1aR5DhBhh,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
Bne1dHxAjaWKfwgj91dJBRncqdpYc4w7rPrnDn2ZETAB,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
EiuxJVWXNsFyTgtquegWzz7Lz1tx5ZPGjw6mD6VSr1kk,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
GRUNjiubVHJ9DAJBwPHpLKBK9h4GszwSsUnw7PX8rM2D,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
GXSUHXwKKhwwHU151rFniH8WHA88ydNUZnLogcwd7pgT,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7quHw1jr3KzYS9ubvcUpzAy4S8fsXN2B4eAnhZLZejD4,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
FkTkbQ4tVuHAJAedm5Ah6zCznWwoFQ7Ye2z1dvHFYFie,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
7S4aKU2zthYxCc2ps5F4XpadNMvJoRwU96TANs8jNsHR,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
4n1UF4ny6y4Uo5ffqXXaykwRjJEdYUZETwKQFpioddhm,4500.000000,Error: Recipient's associated token account does not exist. Add `--fund-recipient` to fund their account
